1,Mortar assault leaves at least 18 dead
2,Goal delight for Sheva
3,Nigeria hostage feared dead is freed
4,Bombers kill shoppers
5,"Vegetables, not fruit, slow brain decline"
6,PM: Havana deal a good experiment
7,Kate is marrying Doherty
8,NASA revisiting life on Mars question
9,"Happy birthday, iPod"
10,Alonso would be happy to retire with three titles
11,Madonna's New Tot 'Happy at Home' in London
12,Nicole Kidman asks dad to help stop husband's drinking
13,United Finds Good Connection in Win
14,'Runway': Making Good Without Making Nice
15,"We were 'arrogant and stupid' over Iraq, says US diplomat"
16,Bad reasons to be good
17,Madonna's new baby's daddy didn't realize adoption was `for good'
18,Women in their 60s 'are perfectly good mothers'
19,We're a pretty kind 'bully'
20,Moderate drinking reduces men's heart attack risk
21,Tom Cruise and Katie Holmes set wedding date
22,Kidnapped AP photographer freed in Gaza
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory"
24,Hurricane Paul Weakens To Tropical Storm
25,UK announces immigration restrictions
26,Three found alive from missing Russian ship -report
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes
28,Injured Marathon Winner Leaves Hospital
29,Hacker unlocks Apple music download protection
30,Spanish journalist seized in Gaza
31,Sudan urges UN to replace its special envoy
32,Resolution approved for international games
33,Pair of Satellites Will Document Sun in 3-D
34,Martian Life Could Have Evaded Detection by Viking Landers
35,The sweet tune of an anniversary
36,Did Viking Probes Miss Life on Mars?
37,Diplomat acknowledges US arrogance in Iraq
38,More Human Remains Found at Ground Zero
39,How to Prevent Iraq From Getting Even Worse
40,Tensions as Hungary marks uprising
41,Stanford study warns of Internet addiction
42,No evidence of ice reserves on the moon
43,A Picture and A Thousand Words
44,Parachutist dies at bridge-jump festival
45,US Troops Killed In October In Iraq
46,"Chefs not counting calories, study finds"
47,Deaths linked to flu vaccine
48,Perfect lives lose their focus
49,Bread-Heavy Diet Linked to Kidney Cancer
50,Beating poverty in a small way
51,Israel insists on Lebanon overflights
52,Britain to restrict immigrants from new EU members
53,Confusion Reigns In the Expanding Digital World
54,Game on! London exhibition celebrates the history of video games
55,Making peace from victory over poverty
56,Marine killed in fighting west of Baghdad
57,Scientists create first cloaking device
58,Amateur rocket scientists reach for space
59,Confusion Reigns In the Expanding Digital World
60,Deaths linked to flu vaccine
61,Israel admits using phosphorous shells in Lebanon
62,4th person dies after receiving flu shot
63,Police and shoppers targeted in growing Iraq violence
64,Scientists discover miracle in the depths
65,Doctors Seeing Patients Who Think They're Internet Addicted
66,China launches two satellites into orbit
67,Vegetables May Boost Brain Power in Older Adults
68,Hurricane Paul nears Category 3 status
69,"Russian ship sinks, 18-member crew missing"
70,Iran's president urges higher birth rate
71,Apple set for massive market gains
72,Tumor Types May Explain Survival Rates for Cancer
73,Routine mission turns into hunt for missing comrade
74,Bad weather slows S.Korean search for Russian ship
75,Tailors and housewives busy as Muslims celebrate Eid
76,Active peace brings the promise of development
77,Abbas condemns Israeli massacre in northern Gaza Strip
78,"Bangladesh ferry sinks, 15 dead"
79,Bucs find a new kick in life
80,Google to unveil election mashup
81,Police warn of child exploitation online
82,Breast Cancer Awareness is Important
83,Hungary police tackle violent protestors
84,Three drivers had reason to be proud in Brazil
85,Celebrities Protest Malibu Gas Facility
86,Lebo: A life lived on the edge
87,"Presto! He's Batman, then magic man"
88,"Heavy use of mobile phones can make men infertile, scientists say"
89,Russian ship sinks in Pacific
90,China Successfully Launches Two Satellites
91,Prestige has magic touch
92,"Lies, damned lies, and divorce"
93,Manning inspires Giants to victory in Dallas
94,Riot warning for France suburbs
95,Full recovery expected for marathon winner
96,Sony apologises for global battery recall
97,Questions on credit card safety
98,Budapest calm after night of violent protests
99,Vegetables May Boost Brain Power in Older Adults
100,Report criticises US press freedoms
101,French suburb riots could resume
102,Photographer kidnapping condemned
103,Photographer kidnapped in Gaza
104,Baseball: Rogers enjoys his muddied streak
105,"Cultural revolutionary, the iPod is five"
106,Life on Mars? Maybe We Missed It
107,Three found alive from missing Russian ship -report
108,Moderate drinking reduces men's heart attack risk
109,The sweet tune of an anniversary
110,Inconvenient truths
111,Dating difficult for Harry Potter
112,Students lose their rite of passage
113,Putin vows to tackle illegal immigration
114,Ottawa must redefine 'terror'
115,"Britain to Limit Workers from Romania, Bulgaria"
116,Top General Optimistic on Iraq
117,Kim Osorio Wins Sexual Harrassment Suit Against The Source
118,Silly and substantial
119,Official laughs for Borat
120,Speaker Hastert testifies before panel probing sex scandal
121,On Educating Sexes Separately
122,Tom Cruise and Katie Holmes set wedding date
123,Martian Life Could Have Evaded Detection by Viking Landers
124,Ukraine gas deal marred by fears
125,Marathon victory comes at heavy cost
126,College tuition continues climbing
127,German paper shows soldiers desecrating skull
128,"War is close, Ethiopia tells Somali rebels"
129,Advantage Cardinals with Suppan in Game 4
130,NASA spacecraft to measure Sun
131,"Sony Hates Europeans, Will Prevent The Importing of PS3"
132,Flu Vaccine Appears Safe for Young Children
133,Google To Launch Yet Another Search Tool
134,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California
135,Israeli Bomblets Plague Lebanon
136,"New Indonesia Calamity, a Mud Bath, Is Man-Made"
137,U.S. Weighs Sanctions Against North Korea
138,"Rice, in Baghdad, Insists That Iraqis Are "
139,Senator Says U.S. Should Rethink Iraq Strategy
140,German Chief Forges Accord on Financing Health Care
141,Turkish Writers Say Efforts to Stifle Speech May Backfire
142,Kurdish Lawmaker Killed in an Attack in Baghdad
143,Anti-U.S. Attack Videos Spread on the Internet
144,"Women Face Greatest Threat of Violence at Home, Study Finds"
145,Appeal by Chinese Researcher for Times May Soon Be Heard
146,Brazil Air Force Cites Faults and Confusion in Fatal Crash
147,A Mix of Oil and Environmentalism
148,Immigrants and French Reach Deal in Standoff
149,Genghis Khan Beer? Mongolia Grimaces
150,Dead Bachelors in Remote China Still Find Wives
151,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu"
153,Paris Journal: Smoking No Longer Tres Chic in France
154,An Old Letter Casts Doubts on Iran's Goal for Uranium
155,U.S. Warns North Koreans About Nuclear Test
156,Global Sludge Ends in Tragedy for Ivory Coast
158,Equipment on Plane in Brazil Collision May Have Been Faulty
159,"New Indonesia Calamity, a Mud Bath, Is Man-Made"
160,Iraqi Journalists Add Laws to List of Dangers
161,U.N. Force Is Treading Lightly on Lebanese Soil
162,Cleric Said to Lose Reins Over Part of Iraqi Militia
163,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes"
164,Opera Canceled Over a Depiction of Muhammad
165,Military Officials Add to U.S. Criticism of Iraq's Government
166,Teacher in Hiding After Attack on Islam Stirs Threats
167,Combative Bush Releases Parts of Terror Study
168,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out
169,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says"
170,"Seduced by Snacks? No, Not You"
171,Friends for Life: An Emerging Biology of Emotional Healing
172,"Alzheimer's Drugs Offer No Help, Study Finds"
173,"Across Europe, Worries on Islam Spread to Center"
174,Cooking Defines Sephardic Jews at Sukkot
175,"Fitness: Bodies in Motion, Clean and Sober"
176,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books
177,"Yankee Dies in Plane Crash, Official Says"
178,An Elephant Crackup?
179,"With YouTube, Grad Student Hits Jackpot Again"
180,Dow flirts with record highs again
181,Tropical Storm Isaac forms in Atlantic
182,New Iraq terror tape calls for abducting foreigners
183,'Deep regret' for ex-HP exec
184,'Opportunity' knocks on geologist's dream crater
185,Squirrel jumps boy in park; rabies suspected
186,Girl left comatose after dental visit dies
187,Porn star candidate campaigns on campus
188,School ends football season after 0-4 start
189,Charlie Sheen to become highest-paid sitcom star
190,Jon Stewart mocks benefits of CNN's I
191,Ashton Kutcher tells secret to Ryan Seacrest
192,Nails-on-chalkboard study earns Ig
193,Gunman 'fine' before shooting
194,Marijuana may stave off Alzheimer's
195,Kentucky seeks alcohol huffing ban
196,Toddler died from tainted spinach
197,Judge dismisses Karr's porn case
198,10 die in 22-hour Kashmir standoff
199,Slain Amish girls laid to rest
200,"5,000 flee plant fire"
201,Cher auction fetches double pre-sale estimates
202,Stars scuffle on 'Grey's Anatomy'
203,Probe under way in Yankee crash
204,Amish schoolhouse torn down
205,Warner will not run in '08
206,Reid land deal under scrutiny
207,"Flooding washes out road to Valdez, Alaska"
208,Briton admits U.S. bomb plot role
209,Commentary: Minutemen have a right to be idiotic
210,Madonna files adoption papers
211,Gunmen kill 9 at Iraqi TV station
212,Hastert sorry for scandal but not quitting
213,Ex-JonBenet suspect: Child porn case dropped 
214,"Waste plant fire forces 5,000 to evacuate "
215,Toddler died from E. coli tainted spinach 
216,Disturbing finds in child sex raids 
217,Magazine lists women who had abortions 
218,"Pot smokers may avoid Alzheimer's, study says "
219,Student starts white men's club on campus 
220,Kentucky wants to ban alcohol inhalers 
221,Peter Pan flies into chapter two 
222,Teen repellent inventor wins infamous prize 
223,"Cher's dress, car, bed have new owners"
224,"Dow hits new record, eyes 12,000 "
225,Ex-Virginia gov not running for president 
226,Yankee pitcher's pilot log found 
228,Dem leader's $1 million land deal under scrutiny 
229,"Dad locked up son, watched on TV, police say "
230,Navarrette: Minutemen have a right to be idiotic 
231,"Pit bulls jump miniature pony, leave her bloody "
232,Alaska town cut off from rest of state by flood 
233,Trailblazing trio protects City by the Bay 
234,Madonna files adoption papers in Malawi
235,'Dr. McDreamy' choked in 'Grey's' scuffle 
236,"$10,000 poetry prize awarded "
237,Las Vegas honour for tiger pair 
238,UK characters boosting box office 
239,Cher items snapped up at auction 
240,Griffiths scorns Withnail 'play' 
241,Lily Allen wins web music award 
242,Costner appeals in casino wrangle
243,Beyonce copyright claim rejected 
244,Cohn gunman jailed for 36 years 
245,Melua's deep sea gig sets record 
246,Sri Lanka clashes kill 129 troops 
247,Gunmen kill 11 in Iraq TV raid 
248,Italy drops Sicily bridge plans 
249,Amish killings school demolished 
250,Pamuk wins Nobel Literature prize
251,Madonna adoption bid approved 
252,Man admits UK-US terror bomb plot
253,Who are you calling fat?
